鳥獣名,画像,元データ
カワウ,http://upload.wikimedia.org/wikipedia/commons/6/68/Phalacrocorax_carbo_Vic.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Phalacrocorax_carbo_Vic.jpg
ゴイサギ,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Black_Crowned_Night_Heron_Ottawa.jpg/640px-Black_Crowned_Night_Heron_Ottawa.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Black_Crowned_Night_Heron_Ottawa.jpg
アオサギ,http://upload.wikimedia.org/wikipedia/commons/2/23/Grey_Heron_Dec._20%2C_2012.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Grey_Heron_Dec._20,_2012.JPG
マガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Mallard02s1500.jpg/320px-Mallard02s1500.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Mallard02s1500.jpg
カルガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Anas_zonorhyncha.jpg/300px-Anas_zonorhyncha.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Anas_zonorhyncha.jpg
コガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Anas_crecca_carolinensis_%28Green-winged_Teal%29_male.jpg/320px-Anas_crecca_carolinensis_%28Green-winged_Teal%29_male.jpg,http://en.wikipedia.org/wiki/File:Anas_crecca_carolinensis_(Green-winged_Teal)_male.jpg
ヨシガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Anas_falcata_male.JPG/320px-Anas_falcata_male.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Anas_falcata_male.JPG
ヒドリガモ,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Anas_penelope_eclipse.JPG/293px-Anas_penelope_eclipse.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Anas_penelope_eclipse.JPG
ホシハジロ,http://upload.wikimedia.org/wikipedia/commons/8/8e/Male_pochard_reflection_in_evening.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Male_pochard_reflection_in_evening.jpg
ウズラ,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Japanese_Quail.jpg/389px-Japanese_Quail.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Japanese_Quail.jpg
ヤマドリ,http://upload.wikimedia.org/wikipedia/commons/4/4d/Stavenn_Syrmaticus_soemmerringii_ijimae_.jpghttp://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Stavenn_Syrmaticus_soemmerringii_ijimae_.jpg
キジ,http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Phasianus_versicolor_in_field.JPG/320px-Phasianus_versicolor_in_field.JPGhttp://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Phasianus_versicolor_in_field.JPG
バン,http://upload.wikimedia.org/wikipedia/commons/4/4e/Moorhen.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Moorhen.jpg
タシギ,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Gallinago_gallinago_a1.JPG/256px-Gallinago_gallinago_a1.JPG,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:Gallinago_gallinago_a1.JPG
キジバト,http://upload.wikimedia.org/wikipedia/commons/2/28/%E3%82%AD%E3%82%B8%E3%83%90%E3%83%88.jpg,http://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%82%A4%E3%83%AB:%E3%82%AD%E3%82%B8%E3%83%90%E3%83%88.jpg
